Gene,Annotation,Ordered locus name,Swiss-Prot Entry name,AC ,EcoGene accession number,Length ,Gene name and synonyms,b_num,jw_num
eutK,Ethanolamine utilization protein EutK,b2438; JW2431,EUTK_ECOLI,P76540,EG14170,166,eutK; yffI,b2438, JW2431
rsmD,Ribosomal RNA small subunit methyltransferase D,b3465; JW3430,RSMD_ECOLI,P0ADX9,EG10343,198,rsmD; yhhF,b3465, JW3430
zipA,Cell division protein ZipA,b2412; JW2404,ZIPA_ECOLI,P77173,EG14169,328,zipA,b2412, JW2404
yhcO,putative protein YhcO,b3239; JW3208,YHCO_ECOLI,P64616,EG12821,90,yhcO,b3239, JW3208
queA,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,b0405; JW0395,QUEA_ECOLI,P0A7F9,EG10812,356,queA,b0405, JW0395
slyD,FKBP-type peptidyl-prolyl cis-trans isomerase SlyD,b3349; JW3311,SLYD_ECOLI,P0A9K9,EG11663,196,slyD,b3349, JW3311
ydhP,Inner membrane transport protein YdhP,b1657; JW1649,YDHP_ECOLI,P77389,EG13950,389,ydhP,b1657, JW1649
rlmL,Ribosomal RNA large subunit methyltransferase K/L,b0948; JW0931,RLMKL_ECOLI,P75864,EG13717,702,rlmL; rlmK; rlmKL; ycbY,b0948, JW0931
mutM,Formamidopyrimidine-DNA glycosylase,b3635; JW3610,FPG_ECOLI,P05523,EG10329,269,mutM; fpg,b3635, JW3610
pstA,Phosphate transport system permease protein PstA,b3726; JW3704,PSTA_ECOLI,P07654,EG10782,296,pstA; phoT,b3726, JW3704
fepD,Ferric enterobactin transport system permease protein FepD,b0590; JW0582,FEPD_ECOLI,P23876,EG10296,334,fepD,b0590, JW0582
ravA,ATPase RavA,b3746; JW3725,RAVA_ECOLI,P31473,EG11731,498,ravA; yieN,b3746, JW3725
yciV,5'-3' exoribonuclease,b1266; JW1258,RNAAM_ECOLI,P77766,EG14257,293,yciV; trpH,b1266, JW1258
tcdA,tRNA threonylcarbamoyladenosine dehydratase,b2812; JW2783,TCDA_ECOLI,Q46927,EG13084,268,tcdA; csdL; ygdL,b2812, JW2783
bssS,Biofilm regulator BssS,b1060; JW5152,BSSS_ECOLI,P0AB33,EG14335,84,bssS; yceP,b1060, JW5152
nikC,Nickel transport system permease protein NikC,b3478; JW3443,NIKC_ECOLI,P0AFA9,EG12077,277,nikC,b3478, JW3443
cspG,Cold shock-like protein CspG,b0990; JW0974,CSPG_ECOLI,P0A978,EG14243,70,cspG; cspI,b0990, JW0974
ruvC,Crossover junction endodeoxyribonuclease RuvC,b1863; JW1852,RUVC_ECOLI,P0A814,EG10925,173,ruvC,b1863, JW1852
sseA,3-mercaptopyruvate sulfurtransferase,b2521; JW2505,THTM_ECOLI,P31142,EG11600,281,sseA,b2521, JW2505
murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,b0086; JW0084,MURF_ECOLI,P11880,EG10622,452,murF; mra,b0086, JW0084
yccU,putative protein YccU,b0965; JW5130,YCCU_ECOLI,P75874,EG13723,137,yccU,b0965, JW5130
ihfA,Integration host factor subunit alpha,b1712; JW1702,IHFA_ECOLI,P0A6X7,EG10440,99,ihfA; hid; himA,b1712, JW1702
surE,5'/3'-nucleotidase SurE,b2744; JW2714,SURE_ECOLI,P0A840,EG11817,253,surE; ygbC,b2744, JW2714
rpsR,30S ribosomal protein S18,b4202; JW4160,RS18_ECOLI,P0A7T7,EG10917,75,rpsR,b4202, JW4160
carA,Carbamoyl-phosphate synthase small chain,b0032; JW0030,CARA_ECOLI,P0A6F1,EG10134,382,carA; pyrA,b0032, JW0030
glpT,Glycerol-3-phosphate transporter,b2240; JW2234,GLPT_ECOLI,P08194,EG10401,452,glpT,b2240, JW2234
hisM,Histidine transport system permease protein HisM,b2307; JW2304,HISM_ECOLI,P0AEU3,EG10007,238,hisM,b2307, JW2304
rhlE,ATP-dependent RNA helicase RhlE,b0797; JW0781,RHLE_ECOLI,P25888,EG11235,454,rhlE,b0797, JW0781
fhlA,Formate hydrogenlyase transcriptional activator FhlA,b2731; JW2701,FHLA_ECOLI,P19323,EG10301,692,fhlA,b2731, JW2701
degQ,Periplasmic pH-dependent serine endoprotease DegQ,b3234; JW3203,DEGQ_ECOLI,P39099,EG12612,455,degQ; hhoA,b3234, JW3203
napH,Ferredoxin-type protein NapH,b2204; JW2192,NAPH_ECOLI,P33934,EG12062,287,napH; yejZ,b2204, JW2192
cyaA,Adenylate cyclase,b3806; JW3778,CYAA_ECOLI,P00936,EG10170,848,cyaA; cya,b3806, JW3778
fumD,Fumarase D,b1675; JW1665,FUMD_ECOLI,P0ACX5,EG13960,69,fumD; ydhZ,b1675, JW1665
seqA,Negative modulator of initiation of replication,b0687; JW0674,SEQA_ECOLI,P0AFY8,EG12197,181,seqA,b0687, JW0674
ppnP,Pyrimidine/purine nucleoside phosphorylase,b0391; JW0382,PPNP_ECOLI,P0C037,EG12159,94,ppnP; yaiE,b0391, JW0382
diaA,DnaA initiator-associating protein DiaA,b3149; JW3118,DIAA_ECOLI,P66817,EG12780,196,diaA; yraO,b3149, JW3118
ygfX,Inner membrane protein YgfX,b2896; JW2864,YGFX_ECOLI,Q46824,EG13074,135,ygfX; cptA,b2896, JW2864
lldD,L-lactate dehydrogenase,b3605; JW3580,LLDD_ECOLI,P33232,EG11963,396,lldD; lctD,b3605, JW3580
mazG,Nucleoside triphosphate pyrophosphohydrolase,b2781; JW2752,MAZG_ECOLI,P0AEY3,EG10572,263,mazG,b2781, JW2752
anmK,Anhydro-N-acetylmuramic acid kinase,b1640; JW1632,ANMK_ECOLI,P77570,EG13942,369,anmK; ydhH,b1640, JW1632
sspB,Stringent starvation protein B,b3228; JW3197,SSPB_ECOLI,P0AFZ3,EG10978,165,sspB,b3228, JW3197
elbB,Glyoxalase ElbB,b3209; JW3176,ELBB_ECOLI,P0ABU5,EG11383,217,elbB; elb2; yzzB,b3209, JW3176
tdcE,PFL-like enzyme TdcE,b3114; JW5522,TDCE_ECOLI,P42632,EG12758,764,tdcE; yhaS,b3114, JW5522
mraZ,Transcriptional regulator MraZ,b0081; JW0079,MRAZ_ECOLI,P22186,EG11084,152,mraZ; yabB,b0081, JW0079
wecG,UDP-N-acetyl-D-mannosaminuronic acid transferase,b3794; JW3770,WECG_ECOLI,P27836,EG11458,246,wecG; rffM,b3794, JW3770
livF,High-affinity branched-chain amino acid transport ATP-binding protein LivF,b3454; JW3419,LIVF_ECOLI,P22731,EG10536,237,livF,b3454, JW3419
tamB,Translocation and assembly module subunit TamB,b4221; JW4180,TAMB_ECOLI,P39321,EG12514,1259,tamB; ytfN; ytfO,b4221, JW4180
rfaF,ADP-heptose--LPS heptosyltransferase 2,b3620; JW3595,RFAF_ECOLI,P37692,EG12210,348,rfaF; waaF,b3620, JW3595
cydD,ATP-binding/permease protein CydD,b0887; JW0870,CYDD_ECOLI,P29018,EG11405,588,cydD; htrD,b0887, JW0870
yciN,Protein YciN,b1273; JW1265,YCIN_ECOLI,P0AB61,EG12868,83,yciN,b1273, JW1265
cspD,Cold shock-like protein CspD,b0880; JW0864,CSPD_ECOLI,P0A968,EG11111,74,cspD; cspH; ybjA,b0880, JW0864
atpG,ATP synthase gamma chain,b3733; JW3711,ATPG_ECOLI,P0ABA6,EG10104,287,atpG; papC; uncG,b3733, JW3711
obgE,GTPase ObgE/CgtA,b3183; JW3150,OBG_ECOLI,P42641,EG12795,390,obgE; cgtA; obg; yhbZ,b3183, JW3150
pmbA,Metalloprotease PmbA,b4235; JW4194,PMBA_ECOLI,P0AFK0,EG10741,450,pmbA; tldE,b4235, JW4194
pgpC,Phosphatidylglycerophosphatase C,b2560; JW5408,PGPC_ECOLI,P0AD42,EG11371,211,pgpC; yfhB,b2560, JW5408
ypjD,Inner membrane protein YpjD,b2611; JW2592,YPJD_ECOLI,P64432,EG14226,263,ypjD,b2611, JW2592
menB,"1,4-dihydroxy-2-naphthoyl-CoA synthase",b2262; JW2257,MENB_ECOLI,P0ABU0,EG11368,285,menB,b2262, JW2257
recN,DNA repair protein RecN,b2616; JW5416,RECN_ECOLI,P05824,EG10831,553,recN; radB,b2616, JW5416
stpA,DNA-binding protein StpA,b2669; JW2644,STPA_ECOLI,P0ACG1,EG11554,134,stpA; hnsB,b2669, JW2644
hyaC,putative Ni/Fe-hydrogenase 1 B-type cytochrome subunit,b0974; JW0956,CYBH_ECOLI,P0AAM1,EG10470,235,hyaC,b0974, JW0956
gor,Glutathione reductase,b3500; JW3467,GSHR_ECOLI,P06715,EG10412,450,gor,b3500, JW3467
fepC,Ferric enterobactin transport ATP-binding protein FepC,b0588; JW0580,FEPC_ECOLI,P23878,EG10295,271,fepC,b0588, JW0580
rsxG,Electron transport complex subunit RsxG,b1631; JW1623,RSXG_ECOLI,P77285,EG13937,206,rsxG; rnfG; ydgP,b1631, JW1623
mog,Molybdopterin adenylyltransferase,b0009; JW0008,MOG_ECOLI,P0AF03,EG11511,195,mog; chlG; mogA; yaaG,b0009, JW0008
dinB,DNA polymerase IV,b0231; JW0221,DPO4_ECOLI,Q47155,EG13141,351,dinB; dinP,b0231, JW0221
uhpC,Membrane sensor protein UhpC,b3667; JW3642,UHPC_ECOLI,P09836,EG11053,439,uhpC,b3667, JW3642
malE,Maltose-binding periplasmic protein,b4034; JW3994,MALE_ECOLI,P0AEX9,EG10554,396,malE,b4034, JW3994
ppa,Inorganic pyrophosphatase,b4226; JW4185,IPYR_ECOLI,P0A7A9,EG10755,176,ppa,b4226, JW4185
lolB,Outer-membrane lipoprotein LolB,b1209; JW1200,LOLB_ECOLI,P61320,EG11293,207,lolB; hemM; ychC,b1209, JW1200
selA,L-seryl-tRNA(Sec) selenium transferase,b3591; JW3564,SELA_ECOLI,P0A821,EG10941,463,selA; fdhA,b3591, JW3564
yfeX,putative deferrochelatase/peroxidase YfeX,b2431; JW2424,YFEX_ECOLI,P76536,EG14165,299,yfeX,b2431, JW2424
rep,ATP-dependent DNA helicase Rep,b3778; JW5604,REP_ECOLI,P09980,EG10837,673,rep,b3778, JW5604
hmp,Flavohemoprotein,b2552; JW2536,HMP_ECOLI,P24232,EG10456,396,hmp; fsrB; hmpA,b2552, JW2536
dtpD,Dipeptide permease D,b0709; JW0699,DTPD_ECOLI,P75742,EG13304,493,dtpD; ybgH,b0709, JW0699
btuD,Vitamin B12 import ATP-binding protein BtuD,b1709; JW1699,BTUD_ECOLI,P06611,EG10128,249,btuD,b1709, JW1699
tatB,Sec-independent protein translocase protein TatB,b3838; JW5580,TATB_ECOLI,P69425,EG14322,171,tatB; mttA2; ysgB,b3838, JW5580
wecE,"dTDP-4-amino-4,6-dideoxygalactose transaminase",b3791; JW3765,WECE_ECOLI,P27833,EG11456,376,wecE; rffA; yifI,b3791, JW3765
hemH,Ferrochelatase,b0475; JW0464,HEMH_ECOLI,P23871,EG10431,320,hemH; popA; visA,b0475, JW0464
ilvN,Acetolactate synthase isozyme 1 small subunit,b3670; JW3645,ILVN_ECOLI,P0ADF8,EG10502,96,ilvN,b3670, JW3645
nanT,Sialic acid transporter NanT,b3224; JW3193,NANT_ECOLI,P41036,EG20145,496,nanT,b3224, JW3193
ycjX,putative protein YcjX,b1321; JW1314,YCJX_ECOLI,P76046,EG13921,465,ycjX,b1321, JW1314
dnaJ,Chaperone protein DnaJ,b0015; JW0014,DNAJ_ECOLI,P08622,EG10240,376,dnaJ; groP,b0015, JW0014
priA,Primosomal protein N',b3935; JW3906,PRIA_ECOLI,P17888,EG10763,732,priA,b3935, JW3906
mscL,Large-conductance mechanosensitive channel,b3291; JW3252,MSCL_ECOLI,P0A742,EG11180,136,mscL; yhdC,b3291, JW3252
dnaQ,DNA polymerase III subunit epsilon,b0215; JW0205,DPO3E_ECOLI,P03007,EG10243,243,dnaQ; mutD,b0215, JW0205
mqo,Malate:quinone oxidoreductase,b2210; JW2198,MQO_ECOLI,P33940,EG12069,548,mqo; yojH,b2210, JW2198
hldD,ADP-L-glycero-D-manno-heptose-6-epimerase,b3619; JW3594,HLDD_ECOLI,P67910,EG10838,310,hldD; htrM; rfaD; waaD,b3619, JW3594
poxB,Pyruvate dehydrogenase [ubiquinone],b0871; JW0855,POXB_ECOLI,P07003,EG10754,572,poxB,b0871, JW0855
nadC,Nicotinate-nucleotide pyrophosphorylase [carboxylating],b0109; JW0105,NADC_ECOLI,P30011,EG11546,297,nadC,b0109, JW0105
nagA,N-acetylglucosamine-6-phosphate deacetylase,b0677; JW0663,NAGA_ECOLI,P0AF18,EG10632,382,nagA,b0677, JW0663
gpt,Xanthine phosphoribosyltransferase,b0238; JW0228,XGPT_ECOLI,P0A9M5,EG10414,152,gpt; gpp; gxu,b0238, JW0228
frmR,Transcriptional repressor FrmR,b0357; JW0348,FRMR_ECOLI,P0AAP3,EG13296,91,frmR; yaiN,b0357, JW0348
rpsT,30S ribosomal protein S20,b0023; JW0022,RS20_ECOLI,P0A7U7,EG10919,87,rpsT,b0023, JW0022
pepN,Aminopeptidase N,b0932; JW0915,AMPN_ECOLI,P04825,EG10696,870,pepN,b0932, JW0915
rimI,Ribosomal-protein-alanine acetyltransferase,b4373; JW4335,RIMI_ECOLI,P0A944,EG10850,148,rimI,b4373, JW4335
zntR,HTH-type transcriptional regulator ZntR,b3292; JW3254,ZNTR_ECOLI,P0ACS5,EG11969,141,zntR; yhdM,b3292, JW3254
hybD,Hydrogenase 2 maturation protease,b2993; JW2961,HYBD_ECOLI,P37182,EG11802,164,hybD,b2993, JW2961
yqgF,Putative pre-16S rRNA nuclease,b2949; JW2916,YQGF_ECOLI,P0A8I1,EG13290,138,yqgF; ruvX,b2949, JW2916
rpsO,30S ribosomal protein S15,b3165; JW3134,RS15_ECOLI,P0ADZ4,EG10914,89,rpsO; secC,b3165, JW3134
lptC,Lipopolysaccharide export system protein LptC,b3199; JW3166,LPTC_ECOLI,P0ADV9,EG12806,191,lptC; yrbK,b3199, JW3166
aaeX,Protein AaeX,b3242; JW5541,AAEX_ECOLI,P46478,EG12824,67,aaeX; yhcR,b3242, JW5541
degS,Serine endoprotease DegS,b3235; JW3204,DEGS_ECOLI,P0AEE3,EG11652,355,degS; hhoB; htrH,b3235, JW3204
aidB,Putative acyl-CoA dehydrogenase AidB,b4187; JW5867,AIDB_ECOLI,P33224,EG11811,541,aidB,b4187, JW5867
yhhW,"Quercetin 2,3-dioxygenase",b3439; JW3402,YHHW_ECOLI,P46852,EG12943,231,yhhW,b3439, JW3402
sdhE,FAD assembly factor SdhE,b2897; JW2865,SDHE_ECOLI,P64559,EG13075,88,sdhE; cptB; ygfY,b2897, JW2865
ucpA,Oxidoreductase UcpA,b2426; JW5394,UCPA_ECOLI,P37440,EG12133,263,ucpA; yfeF,b2426, JW5394
aqpZ,Aquaporin Z,b0875; JW0859,AQPZ_ECOLI,P60844,EG13270,231,aqpZ; bniP,b0875, JW0859
wecB,UDP-N-acetylglucosamine 2-epimerase,b3786; JW5600,WECB_ECOLI,P27828,EG11451,376,wecB; nfrC; rffE; yifF,b3786, JW5600
rpsE,30S ribosomal protein S5,b3303; JW3265,RS5_ECOLI,P0A7W1,EG10904,167,rpsE; spc,b3303, JW3265
thiD,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,b2103; JW2090,THID_ECOLI,P76422,EG14068,266,thiD; thiJ,b2103, JW2090
kdpB,Potassium-transporting ATPase ATP-binding subunit,b0697; JW0685,KDPB_ECOLI,P03960,EG10514,682,kdpB,b0697, JW0685
rna,Ribonuclease I,b0611; JW0603,RNI_ECOLI,P21338,EG10856,268,rna; rnsA,b0611, JW0603
entC,Isochorismate synthase EntC,b0593; JW0585,ENTC_ECOLI,P0AEJ2,EG10261,391,entC,b0593, JW0585
hypD,Hydrogenase maturation factor HypD,b2729; JW2699,HYPD_ECOLI,P24192,EG10486,373,hypD,b2729, JW2699
glgX,Glycogen debranching enzyme,b3431; JW3394,GLGX_ECOLI,P15067,EG10381,657,glgX; glyX,b3431, JW3394
aspS,Aspartate--tRNA ligase,b1866; JW1855,SYD_ECOLI,P21889,EG10097,590,aspS; tls,b1866, JW1855
metF,"5,10-methylenetetrahydrofolate reductase",b3941; JW3913,METF_ECOLI,P0AEZ1,EG10585,296,metF,b3941, JW3913
groS,10 kDa chaperonin,b4142; JW4102,CH10_ECOLI,P0A6F9,EG10600,97,groS; groES; mopB,b4142, JW4102
srkA,Stress response kinase A,b3859; JW3831,SRKA_ECOLI,P0C0K3,EG11831,328,srkA; rdoA; yihE,b3859, JW3831
nuoE,NADH-quinone oxidoreductase subunit E,b2285; JW2280,NUOE_ECOLI,P0AFD1,EG12086,166,nuoE,b2285, JW2280
aceK,Isocitrate dehydrogenase kinase/phosphatase,b4016; JW3976,ACEK_ECOLI,P11071,EG10026,578,aceK,b4016, JW3976
cysN,Sulfate adenylyltransferase subunit 1,b2751; JW2721,CYSN_ECOLI,P23845,EG10194,475,cysN,b2751, JW2721
gstA,Glutathione S-transferase GstA,b1635; JW1627,GSTA_ECOLI,P0A9D2,EG12613,201,gstA; gst,b1635, JW1627
argH,Argininosuccinate lyase,b3960; JW3932,ARLY_ECOLI,P11447,EG11223,457,argH,b3960, JW3932
ptrA,Protease 3,b2821; JW2789,PTRA_ECOLI,P05458,EG10786,962,ptrA; ptr,b2821, JW2789
cbpM,Chaperone modulatory protein CbpM,b0999; JW0984,CBPM_ECOLI,P63264,EG12194,101,cbpM; yccD,b0999, JW0984
rsxB,Electron transport complex subunit RsxB,b1628; JW1620,RSXB_ECOLI,P77223,EG13934,192,rsxB; rnfB; ydgM,b1628, JW1620
menD,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,b2264; JW5374,MEND_ECOLI,P17109,EG10579,556,menD,b2264, JW5374
truD,tRNA pseudouridine synthase D,b2745; JW2715,TRUD_ECOLI,Q57261,EG13109,349,truD; ygbO,b2745, JW2715
ybiB,putative protein YbiB,b0800; JW0785,YBIB_ECOLI,P30177,EG11580,320,ybiB,b0800, JW0785
rmf,Ribosome modulation factor,b0953; JW0936,RMF_ECOLI,P0AFW2,EG50004,55,rmf,b0953, JW0936
lpxP,Lipid A biosynthesis palmitoleoyltransferase,b2378; JW2375,LPXP_ECOLI,P0ACV2,EG12901,306,lpxP; ddg,b2378, JW2375
thiC,Phosphomethylpyrimidine synthase,b3994; JW3958,THIC_ECOLI,P30136,EG11585,631,thiC,b3994, JW3958
nikA,Nickel-binding periplasmic protein,b3476; JW3441,NIKA_ECOLI,P33590,EG12075,524,nikA,b3476, JW3441
basR,Transcriptional regulatory protein BasR,b4113; JW4074,BASR_ECOLI,P30843,EG11615,222,basR; pmrA,b4113, JW4074
serC,Phosphoserine aminotransferase,b0907; JW0890,SERC_ECOLI,P23721,EG10946,362,serC; pdxC; pdxF,b0907, JW0890
gmhB,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase",b0200; JW0196,GMHBB_ECOLI,P63228,EG11736,191,gmhB; yaeD,b0200, JW0196
mscS,Small-conductance mechanosensitive channel,b2924; JW2891,MSCS_ECOLI,P0C0S1,EG11160,286,mscS; yggB,b2924, JW2891
ubiX,Flavin prenyltransferase UbiX,b2311; JW2308,UBIX_ECOLI,P0AG03,EG11044,189,ubiX; dedF,b2311, JW2308
mtlD,Mannitol-1-phosphate 5-dehydrogenase,b3600; JW3574,MTLD_ECOLI,P09424,EG10616,382,mtlD,b3600, JW3574
rlmJ,Ribosomal RNA large subunit methyltransferase J,b3499; JW3466,RLMJ_ECOLI,P37634,EG12234,280,rlmJ; yhiR,b3499, JW3466
ybjG,Putative undecaprenyl-diphosphatase YbjG,b0841; JW5112,YBJG_ECOLI,P75806,EG13676,198,ybjG,b0841, JW5112
spy,Periplasmic chaperone Spy,b1743; JW1732,SPY_ECOLI,P77754,EG13490,161,spy,b1743, JW1732
yajR,Inner membrane transport protein YajR,b0427; JW5059,YAJR_ECOLI,P77726,EG13614,454,yajR,b0427, JW5059
fdx,2Fe-2S ferredoxin,b2525; JW2509,FER_ECOLI,P0A9R4,EG11328,111,fdx,b2525, JW2509
dacC,D-alanyl-D-alanine carboxypeptidase DacC,b0839; JW0823,DACC_ECOLI,P08506,EG10203,400,dacC,b0839, JW0823
ung,Uracil-DNA glycosylase,b2580; JW2564,UNG_ECOLI,P12295,EG11058,229,ung,b2580, JW2564
garK,Glycerate 2-kinase,b3124; JW3093,GLXK1_ECOLI,P23524,EG11175,381,garK; yhaD,b3124, JW3093
murP,PTS system N-acetylmuramic acid-specific EIIBC component,b2429; JW2422,PTYBC_ECOLI,P77272,EG14163,474,murP; yfeV,b2429, JW2422
hfq,RNA-binding protein Hfq,b4172; JW4130,HFQ_ECOLI,P0A6X3,EG10438,102,hfq,b4172, JW4130
fadI,3-ketoacyl-CoA thiolase FadI,b2342; JW2339,FADI_ECOLI,P76503,EG14128,436,fadI; yfcY,b2342, JW2339
btuC,Vitamin B12 import system permease protein BtuC,b1711; JW1701,BTUC_ECOLI,P06609,EG10127,326,btuC,b1711, JW1701
btuR,"Cob(I)yrinic acid a,c-diamide adenosyltransferase",b1270; JW1262,BTUR_ECOLI,P0A9H5,EG10130,196,btuR; cobA,b1270, JW1262
ybfF,Esterase YbfF,b0686; JW0673,YBFF_ECOLI,P75736,EG11776,254,ybfF,b0686, JW0673
mutH,DNA mismatch repair protein MutH,b2831; JW2799,MUTH_ECOLI,P06722,EG10624,229,mutH; mutR; prv,b2831, JW2799
mnmA,tRNA-specific 2-thiouridylase MnmA,b1133; JW1119,MNMA_ECOLI,P25745,EG11344,368,mnmA; asuE; trmU; ycfB,b1133, JW1119
hyaE,Hydrogenase-1 operon protein HyaE,b0976; JW0958,HYAE_ECOLI,P19931,EG10472,132,hyaE,b0976, JW0958
kdpE,KDP operon transcriptional regulatory protein KdpE,b0694; JW5096,KDPE_ECOLI,P21866,EG10517,225,kdpE,b0694, JW5096
moeA,Molybdopterin molybdenumtransferase,b0827; JW0811,MOEA_ECOLI,P12281,EG10153,411,moeA; bisB; chlE; narE,b0827, JW0811
eptC,Phosphoethanolamine transferase EptC,b3955; JW3927,EPTC_ECOLI,P0CB39,EG11914,577,eptC; cptA; yijP,b3955, JW3927
hybF,Hydrogenase maturation factor HybF,b2991; JW5493,HYBF_ECOLI,P0A703,EG11804,113,hybF,b2991, JW5493
ybeY,Endoribonuclease YbeY,b0659; JW0656,YBEY_ECOLI,P0A898,EG13655,155,ybeY,b0659, JW0656
ubiC,Chorismate pyruvate-lyase,b4039; JW5713,UBIC_ECOLI,P26602,EG11369,165,ubiC,b4039, JW5713
bsmA,Lipoprotein BsmA,b4189; JW5743,BSMA_ECOLI,P39297,EG12489,109,bsmA; yjfO,b4189, JW5743
zapC,Cell division protein ZapC,b0946; JW5125,ZAPC_ECOLI,P75862,EG13715,180,zapC; ycbW,b0946, JW5125
sulA,Cell division inhibitor SulA,b0958; JW0941,SULA_ECOLI,P0AFZ5,EG10984,169,sulA; sfiA,b0958, JW0941
ispE,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,b1208; JW1199,ISPE_ECOLI,P62615,EG11294,283,ispE; ipk; ychB,b1208, JW1199
ybgK,putative protein YbgK,b0712; JW0702,YBGK_ECOLI,P75745,EG13307,310,ybgK,b0712, JW0702
frwD,PTS system fructose-like EIIB component 3,b3953; JW3925,PTFB3_ECOLI,P32676,EG11912,113,frwD; yijN,b3953, JW3925
cyoA,Cytochrome bo(3) ubiquinol oxidase subunit 2,b0432; JW0422,CYOA_ECOLI,P0ABJ1,EG10178,315,cyoA,b0432, JW0422
hcr,NADH oxidoreductase HCR,b0872; JW5117,HCR_ECOLI,P75824,EG13691,322,hcr; ybjV,b0872, JW5117
trmL,tRNA (cytidine(34)-2'-O)-methyltransferase,b3606; JW3581,TRML_ECOLI,P0AGJ7,EG11888,157,trmL; yibK,b3606, JW3581
ugpA,sn-glycerol-3-phosphate transport system permease protein UgpA,b3452; JW3417,UGPA_ECOLI,P10905,EG11046,295,ugpA,b3452, JW3417
rihA,Pyrimidine-specific ribonucleoside hydrolase RihA,b0651; JW0646,RIHA_ECOLI,P41409,EG12701,311,rihA; ybeK,b0651, JW0646
purN,Phosphoribosylglycinamide formyltransferase,b2500; JW2485,PUR3_ECOLI,P08179,EG10799,212,purN,b2500, JW2485
mzrA,Modulator protein MzrA,b3096; JW3067,MZRA_ECOLI,P42615,EG12741,127,mzrA; ecfM; yqjB,b3096, JW3067
lpxB,Lipid-A-disaccharide synthase,b0182; JW0177,LPXB_ECOLI,P10441,EG10546,382,lpxB; pgsB,b0182, JW0177
macA,Macrolide export protein MacA,b0878; JW0862,MACA_ECOLI,P75830,EG13694,371,macA; ybjY,b0878, JW0862
sufC,putative ATP-dependent transporter SufC,b1682; JW1672,SUFC_ECOLI,P77499,EG13964,248,sufC; ynhD,b1682, JW1672
ydjM,Inner membrane protein YdjM,b1728; JW5281,YDJM_ECOLI,P64481,EG13989,196,ydjM,b1728, JW5281
chbF,6-phospho-beta-glucosidase,b1734; JW1723,CHBF_ECOLI,P17411,EG10144,450,chbF; celF; ydjD,b1734, JW1723
cysJ,Sulfite reductase [NADPH] flavoprotein alpha-component,b2764; JW2734,CYSJ_ECOLI,P38038,EG10191,599,cysJ,b2764, JW2734
pgpB,Phosphatidylglycerophosphatase B,b1278; JW1270,PGPB_ECOLI,P0A924,EG10705,254,pgpB,b1278, JW1270
uhpB,Signal transduction histidine-protein kinase/phosphatase UhpB,b3668; JW3643,UHPB_ECOLI,P09835,EG11052,500,uhpB,b3668, JW3643
gsiA,Glutathione import ATP-binding protein GsiA,b0829; JW5897,GSIA_ECOLI,P75796,EG13472,623,gsiA; yliA,b0829, JW5897
nikD,Nickel import ATP-binding protein NikD,b3479; JW3444,NIKD_ECOLI,P33593,EG12078,254,nikD,b3479, JW3444
amiD,N-acetylmuramoyl-L-alanine amidase AmiD,b0867; JW0851,AMID_ECOLI,P75820,EG13687,276,amiD; ybjR,b0867, JW0851
ansB,L-asparaginase 2,b2957; JW2924,ASPG2_ECOLI,P00805,EG10046,348,ansB,b2957, JW2924
pspE,Thiosulfate sulfurtransferase PspE,b1308; JW1301,PSPE_ECOLI,P23857,EG10780,104,pspE,b1308, JW1301
rseA,Anti-sigma-E factor RseA,b2572; JW2556,RSEA_ECOLI,P0AFX7,EG12341,216,rseA; mclA; yfiJ,b2572, JW2556
malQ,4-alpha-glucanotransferase,b3416; JW3379,MALQ_ECOLI,P15977,EG10561,694,malQ; malA,b3416, JW3379
rplN,50S ribosomal protein L14,b3310; JW3272,RL14_ECOLI,P0ADY3,EG10875,123,rplN,b3310, JW3272
prfC,Peptide chain release factor RF3,b4375; JW5873,RF3_ECOLI,P0A7I4,EG12114,529,prfC; miaD; tos,b4375, JW5873
rsxE,Electron transport complex subunit RsxE,b1632; JW1624,RSXE_ECOLI,P77179,EG13938,231,rsxE; rnfE; ydgQ,b1632, JW1624
cutA,Divalent-cation tolerance protein CutA,b4137; JW4097,CUTA_ECOLI,P69488,EG12177,112,cutA; cutA1; cycY,b4137, JW4097
yaiA,putative protein YaiA,b0389; JW0380,YAIA_ECOLI,P0AAN5,EG11093,63,yaiA,b0389, JW0380
fadB,Fatty acid oxidation complex subunit alpha,b3846; JW3822,FADB_ECOLI,P21177,EG10279,729,fadB; oldB,b3846, JW3822
zntA,Zinc/cadmium/lead-transporting P-type ATPase,b3469; JW3434,ZNTA_ECOLI,P37617,EG12215,732,zntA; yhhO,b3469, JW3434
ppiB,Peptidyl-prolyl cis-trans isomerase B,b0525; JW0514,PPIB_ECOLI,P23869,EG10758,164,ppiB,b0525, JW0514
entA,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",b0596; JW0588,ENTA_ECOLI,P15047,EG10259,248,entA,b0596, JW0588
